Baby,Time,Duration(minutes),Note
Molly,"07/07/2015, 00:00",112
Molly,"07/07/2015, 02:33",218
Molly,"07/07/2015, 06:44",98
Molly,"07/07/2015, 09:01",108
Molly,"07/07/2015, 11:42",40
Molly,"07/07/2015, 15:19",123
Molly,"07/07/2015, 18:23",53
Molly,"07/07/2015, 19:21",5
Molly,"07/07/2015, 20:31",8
Molly,"07/07/2015, 21:50",19
Molly,"07/07/2015, 22:55",184
Molly,"08/07/2015, 02:43",21
Molly,"08/07/2015, 03:21",146
Molly,"08/07/2015, 06:36",9
Molly,"08/07/2015, 06:57",135
Molly,"08/07/2015, 09:49",4
Molly,"08/07/2015, 10:41",138
Molly,"08/07/2015, 15:01",114
Molly,"08/07/2015, 17:49",14
Molly,"08/07/2015, 18:22",61
Molly,"08/07/2015, 21:20",6
Molly,"08/07/2015, 21:28",22
Molly,"08/07/2015, 22:57",40
Molly,"08/07/2015, 23:39",268
Molly,"09/07/2015, 04:58",70
Molly,"09/07/2015, 06:24",5
Molly,"09/07/2015, 07:03",135
Molly,"09/07/2015, 10:58",40
Molly,"09/07/2015, 12:06",3
Molly,"09/07/2015, 12:17",128
Molly,"09/07/2015, 14:26",10
Molly,"09/07/2015, 16:13",43
Molly,"09/07/2015, 17:06",82
Molly,"09/07/2015, 20:11",5
Molly,"09/07/2015, 21:02",62
Molly,"09/07/2015, 22:11",27
Molly,"09/07/2015, 23:33",264
Molly,"10/07/2015, 04:46",305
Molly,"10/07/2015, 11:27",11
Molly,"10/07/2015, 12:14",103
Molly,"10/07/2015, 14:27",12
Molly,"10/07/2015, 15:18",92
Molly,"10/07/2015, 17:37",45
Molly,"10/07/2015, 18:25",27
Molly,"10/07/2015, 20:58",14
Molly,"10/07/2015, 21:16",1
Molly,"10/07/2015, 21:37",9
Molly,"10/07/2015, 21:51",69
Molly,"10/07/2015, 23:31",87
Molly,"11/07/2015, 01:10",225
Molly,"11/07/2015, 05:49",48
Molly,"11/07/2015, 07:15",66
Molly,"11/07/2015, 09:01",122
Molly,"11/07/2015, 11:08",23
Molly,"11/07/2015, 13:24",127
Molly,"11/07/2015, 16:50",59
Molly,"11/07/2015, 19:38",16
Molly,"11/07/2015, 20:50",195
Molly,"12/07/2015, 00:39",256
Molly,"12/07/2015, 05:40",7
Molly,"12/07/2015, 05:53",52
Molly,"12/07/2015, 07:22",26
Molly,"12/07/2015, 07:50",174
Molly,"12/07/2015, 14:10",133
Molly,"12/07/2015, 18:23",33
Molly,"12/07/2015, 20:13",185
Molly,"13/07/2015, 00:05",161
Molly,"13/07/2015, 02:50",126
Molly,"13/07/2015, 05:45",67
Molly,"13/07/2015, 07:31",186
Molly,"13/07/2015, 12:28",50
Molly,"13/07/2015, 13:24",41
Molly,"13/07/2015, 14:22",48
Molly,"13/07/2015, 16:40",27
Molly,"13/07/2015, 18:10",126
Molly,"13/07/2015, 21:50",2
Molly,"13/07/2015, 22:17",13
Molly,"13/07/2015, 23:15",12
Molly,"14/07/2015, 00:30",142
Molly,"14/07/2015, 03:35",171
Molly,"14/07/2015, 07:30",144
Molly,"14/07/2015, 11:35",13
Molly,"14/07/2015, 12:28",133
Molly,"14/07/2015, 15:57",17
Molly,"14/07/2015, 16:37",109
Molly,"14/07/2015, 20:12",12
Molly,"14/07/2015, 23:24",189
Molly,"15/07/2015, 03:49",151
Molly,"15/07/2015, 06:30",38
Molly,"15/07/2015, 08:02",106
Molly,"15/07/2015, 11:00",72
Molly,"15/07/2015, 13:43",9
Molly,"15/07/2015, 14:08",119
Molly,"15/07/2015, 17:55",29
Molly,"15/07/2015, 18:34",78
Molly,"15/07/2015, 22:33",28
Molly,"15/07/2015, 23:45",5
Molly,"15/07/2015, 23:53",209
Molly,"16/07/2015, 04:40",152
Molly,"16/07/2015, 07:57",195
Molly,"16/07/2015, 12:31",49
Molly,"16/07/2015, 14:08",60
Molly,"16/07/2015, 15:45",68
Molly,"16/07/2015, 19:00",213
Molly,"16/07/2015, 23:40",4
Molly,"16/07/2015, 23:45",220
Molly,"17/07/2015, 04:47",116
Molly,"17/07/2015, 07:16",129
Molly,"17/07/2015, 10:08",42
Molly,"17/07/2015, 11:10",12
Molly,"17/07/2015, 12:56",19
Molly,"17/07/2015, 14:01",147
Molly,"17/07/2015, 16:41",26
Molly,"17/07/2015, 19:01",26
Molly,"17/07/2015, 20:18",8
Molly,"17/07/2015, 20:30",29
Molly,"17/07/2015, 21:26",20
Molly,"17/07/2015, 22:33",209
Molly,"18/07/2015, 02:07",69
Molly,"18/07/2015, 04:07",182
Molly,"18/07/2015, 08:03",102
Molly,"18/07/2015, 11:01",122
Molly,"18/07/2015, 14:27",24
Molly,"18/07/2015, 16:09",14
Molly,"18/07/2015, 16:33",108
Molly,"18/07/2015, 20:50",96
Molly,"18/07/2015, 23:27",169
Molly,"19/07/2015, 03:06",90
Molly,"19/07/2015, 05:31",52
Molly,"19/07/2015, 06:47",188
Molly,"19/07/2015, 12:17",6
Molly,"19/07/2015, 13:01",221
Molly,"19/07/2015, 18:11",8
Molly,"19/07/2015, 18:28",31
Molly,"19/07/2015, 20:33",15
Molly,"19/07/2015, 20:54",63
Molly,"19/07/2015, 23:47",372
Molly,"20/07/2015, 06:59",126
Molly,"20/07/2015, 10:34",33
Molly,"20/07/2015, 12:38",178
Molly,"20/07/2015, 15:54",21
Molly,"20/07/2015, 17:58",4
Molly,"20/07/2015, 18:29",65
Molly,"20/07/2015, 23:36",400
Molly,"21/07/2015, 07:18",160
Molly,"21/07/2015, 11:21",42
Molly,"21/07/2015, 13:14",233
Molly,"21/07/2015, 18:57",7
Molly,"21/07/2015, 19:10",9
Molly,"21/07/2015, 19:23",12
Molly,"21/07/2015, 20:15",112
Molly,"21/07/2015, 22:55",378
Molly,"22/07/2015, 06:07",138
Molly,"22/07/2015, 10:13",77
Molly,"22/07/2015, 12:45",48
Molly,"22/07/2015, 15:11",60
Molly,"22/07/2015, 17:31",18
Molly,"22/07/2015, 18:43",200
Molly,"22/07/2015, 22:47",372
Molly,"23/07/2015, 05:53",248
Molly,"23/07/2015, 13:03",32
Molly,"23/07/2015, 14:01",149
Molly,"23/07/2015, 18:28",7
Molly,"23/07/2015, 18:38",6
Molly,"23/07/2015, 19:28",24
Molly,"23/07/2015, 21:02",30
Molly,"23/07/2015, 23:48",34
Molly,"24/07/2015, 00:47",285
Molly,"24/07/2015, 06:21",241
Molly,"24/07/2015, 12:09",37
Molly,"24/07/2015, 13:43",42
Molly,"24/07/2015, 15:10",59
Molly,"24/07/2015, 16:44",7
Molly,"24/07/2015, 17:37",107
Molly,"24/07/2015, 20:45",10
Molly,"24/07/2015, 21:28",24
Molly,"24/07/2015, 22:04",10
Molly,"24/07/2015, 23:08",383
Molly,"25/07/2015, 06:09",223
Molly,"25/07/2015, 11:05",35
Molly,"25/07/2015, 12:00",65
Molly,"25/07/2015, 14:22",118
Molly,"25/07/2015, 17:23",31
Molly,"25/07/2015, 20:05",78
Molly,"25/07/2015, 22:51",371
Molly,"26/07/2015, 05:53",180
Molly,"26/07/2015, 09:27",119
Molly,"26/07/2015, 12:56",46
Molly,"26/07/2015, 14:32",48
Molly,"26/07/2015, 15:39",30
Molly,"26/07/2015, 16:38",7
Molly,"26/07/2015, 16:55",46
Molly,"26/07/2015, 19:39",6
Molly,"26/07/2015, 20:52",58
Molly,"26/07/2015, 23:03",28
Molly,"27/07/2015, 00:09",366
Molly,"27/07/2015, 07:01",203
Molly,"27/07/2015, 11:54",28
Molly,"27/07/2015, 14:16",32
Molly,"27/07/2015, 14:58",153
Molly,"27/07/2015, 19:32",20
Molly,"27/07/2015, 20:40",26
Molly,"27/07/2015, 22:35",17
Molly,"27/07/2015, 23:08",361
Molly,"28/07/2015, 06:19",212
Molly,"28/07/2015, 11:43",24
Molly,"28/07/2015, 13:45",56
Molly,"28/07/2015, 16:20",18
Molly,"28/07/2015, 16:50",27
Molly,"28/07/2015, 19:26",157
Molly,"28/07/2015, 22:48",391
Molly,"29/07/2015, 05:59",238
Molly,"29/07/2015, 11:36",47
Molly,"29/07/2015, 13:50",42
Molly,"29/07/2015, 14:52",149
Molly,"29/07/2015, 19:28",100
Molly,"29/07/2015, 23:29",357
Molly,"30/07/2015, 06:40",183
Molly,"30/07/2015, 10:44",12
Molly,"30/07/2015, 11:41",85
Molly,"30/07/2015, 15:02",36
Molly,"30/07/2015, 16:17",14
Molly,"30/07/2015, 16:47",37
Molly,"30/07/2015, 18:40",50
Molly,"30/07/2015, 19:55",48
Molly,"30/07/2015, 21:03",116
Molly,"31/07/2015, 00:00",390
Molly,"31/07/2015, 08:02",172
Molly,"31/07/2015, 13:27",43
Molly,"31/07/2015, 15:25",36
Molly,"31/07/2015, 16:58",108
Molly,"31/07/2015, 19:12",71
Molly,"31/07/2015, 22:03",86
Molly,"31/07/2015, 23:45",330
Molly,"01/08/2015, 06:29",251
Molly,"01/08/2015, 12:00",33
Molly,"01/08/2015, 13:35",112
Molly,"01/08/2015, 17:04",35
Molly,"01/08/2015, 19:23",73
Molly,"01/08/2015, 22:13",399
Molly,"02/08/2015, 05:47",204
Molly,"02/08/2015, 10:43",14
Molly,"02/08/2015, 11:31",45
Molly,"02/08/2015, 13:26",39
Molly,"02/08/2015, 15:00",11
Molly,"02/08/2015, 15:43",107
Molly,"02/08/2015, 18:12",40
Molly,"02/08/2015, 20:17",21
Molly,"02/08/2015, 21:36",400
Molly,"03/08/2015, 05:42",285
Molly,"03/08/2015, 11:55",37
Molly,"03/08/2015, 13:52",44
Molly,"03/08/2015, 14:46",53
Molly,"03/08/2015, 16:52",30
Molly,"03/08/2015, 17:38",22
Molly,"03/08/2015, 18:40",29
Molly,"03/08/2015, 20:14",34
Molly,"03/08/2015, 22:00",49
Molly,"03/08/2015, 23:25",466
Molly,"04/08/2015, 08:07",127
Molly,"04/08/2015, 11:26",68
Molly,"04/08/2015, 12:39",13
Molly,"04/08/2015, 13:41",178
Molly,"04/08/2015, 18:41",14
Molly,"04/08/2015, 19:16",19
Molly,"04/08/2015, 21:09",26
Molly,"04/08/2015, 22:43",518
Molly,"05/08/2015, 08:44",59
Molly,"05/08/2015, 10:42",18
Molly,"05/08/2015, 11:15",161
Molly,"05/08/2015, 15:20",134
Molly,"05/08/2015, 18:35",73
Molly,"05/08/2015, 21:40",107
Molly,"05/08/2015, 23:58",429
Molly,"06/08/2015, 08:27",116
Molly,"06/08/2015, 11:48",72
Molly,"06/08/2015, 14:08",40
Molly,"06/08/2015, 15:25",104
Molly,"06/08/2015, 18:38",65
Molly,"07/08/2015, 00:00",506
Molly,"07/08/2015, 09:25",36
Molly,"07/08/2015, 11:16",104
Molly,"07/08/2015, 13:42",54
Molly,"07/08/2015, 15:51",54
Molly,"07/08/2015, 18:07",151
Molly,"07/08/2015, 22:55",415
Molly,"08/08/2015, 07:08",204
Molly,"08/08/2015, 11:50",35
Molly,"08/08/2015, 14:17",35
Molly,"08/08/2015, 16:01",78
Molly,"08/08/2015, 18:34",100
Molly,"08/08/2015, 21:03",21
Molly,"08/08/2015, 22:21",490
Molly,"09/08/2015, 07:08",120
Molly,"09/08/2015, 11:16",29
Molly,"09/08/2015, 11:55",109
Molly,"09/08/2015, 15:18",28
Molly,"09/08/2015, 17:04",21
Molly,"09/08/2015, 18:11",31
Molly,"09/08/2015, 20:36",85
Molly,"09/08/2015, 22:54",480
Molly,"10/08/2015, 07:45",188
Molly,"10/08/2015, 12:40",31
Molly,"10/08/2015, 14:42",77
Molly,"10/08/2015, 18:02",99
Molly,"10/08/2015, 21:18",30
Molly,"11/08/2015, 00:36",529
Molly,"11/08/2015, 11:04",34
Molly,"11/08/2015, 12:17",145
Molly,"11/08/2015, 15:18",70
Molly,"11/08/2015, 18:01",20
Molly,"11/08/2015, 18:36",10
Molly,"11/08/2015, 18:58",37
Molly,"11/08/2015, 21:45",30
Molly,"11/08/2015, 23:52",504
Molly,"12/08/2015, 09:27",87
Molly,"12/08/2015, 12:01",10
Molly,"12/08/2015, 12:32",26
Molly,"12/08/2015, 13:16",174
Molly,"12/08/2015, 18:00",30
Molly,"12/08/2015, 20:01",20
Molly,"12/08/2015, 22:04",590
Molly,"13/08/2015, 08:32",120
Molly,"13/08/2015, 11:55",51
Molly,"13/08/2015, 13:26",41
Molly,"13/08/2015, 15:09",70
Molly,"13/08/2015, 16:40",10
Molly,"13/08/2015, 17:01",34
Molly,"13/08/2015, 19:04",39
Molly,"13/08/2015, 21:14",20
Molly,"13/08/2015, 22:00",440
Molly,"14/08/2015, 06:11",211
Molly,"14/08/2015, 11:16",26
Molly,"14/08/2015, 12:19",109
Molly,"14/08/2015, 15:42",95
Molly,"14/08/2015, 18:24",27
Molly,"14/08/2015, 21:32",18
Molly,"14/08/2015, 22:28",545
Molly,"15/08/2015, 08:51",141
Molly,"15/08/2015, 12:25",30
Molly,"15/08/2015, 14:18",145
Molly,"15/08/2015, 18:12",20
Molly,"15/08/2015, 20:16",37
Molly,"15/08/2015, 21:59",620
Molly,"16/08/2015, 09:35",30
Molly,"16/08/2015, 10:57",51
Molly,"16/08/2015, 12:55",127
Molly,"16/08/2015, 16:30",35
Molly,"16/08/2015, 18:49",36
Molly,"16/08/2015, 21:40",31
Molly,"16/08/2015, 23:01",558
Molly,"17/08/2015, 09:36",46
Molly,"17/08/2015, 11:43",37
Molly,"17/08/2015, 13:21",16
Molly,"17/08/2015, 13:57",38
Molly,"17/08/2015, 16:36",33
Molly,"17/08/2015, 18:23",118
Molly,"17/08/2015, 21:20",21
Molly,"17/08/2015, 23:50",567
Molly,"18/08/2015, 10:49",38
Molly,"18/08/2015, 12:37",8
Molly,"18/08/2015, 12:54",30
Molly,"18/08/2015, 14:35",226
Molly,"18/08/2015, 20:30",33
Molly,"18/08/2015, 23:03",578
Molly,"19/08/2015, 09:13",70
Molly,"19/08/2015, 11:44",46
Molly,"19/08/2015, 13:32",25
Molly,"19/08/2015, 14:50",27
Molly,"19/08/2015, 15:35",175
Molly,"19/08/2015, 19:52",149
Molly,"19/08/2015, 23:22",499
Molly,"20/08/2015, 08:56",99
Molly,"20/08/2015, 12:13",27
Molly,"20/08/2015, 14:30",16
Molly,"20/08/2015, 15:58",152
Molly,"20/08/2015, 20:36",32
Molly,"20/08/2015, 22:30",614
Molly,"21/08/2015, 10:25",142
Molly,"21/08/2015, 14:04",16
Molly,"21/08/2015, 15:22",34
Molly,"21/08/2015, 16:10",57
Molly,"21/08/2015, 19:30",80
Molly,"21/08/2015, 21:01",15
Molly,"21/08/2015, 21:25",59
Molly,"21/08/2015, 23:50",510
Molly,"22/08/2015, 10:01",30
Molly,"22/08/2015, 12:02",188
Molly,"22/08/2015, 16:17",37
Molly,"22/08/2015, 18:40",43
Molly,"22/08/2015, 20:35",35
Molly,"22/08/2015, 22:55",596
Molly,"23/08/2015, 10:05",51
Molly,"23/08/2015, 12:29",144
Molly,"23/08/2015, 16:26",92
Molly,"23/08/2015, 19:28",40
Molly,"23/08/2015, 22:10",601
Molly,"24/08/2015, 09:45",36
Molly,"24/08/2015, 12:10",80
Molly,"24/08/2015, 14:20",26
Molly,"24/08/2015, 15:03",55
Molly,"24/08/2015, 18:22",37
Molly,"24/08/2015, 20:56",44
Molly,"24/08/2015, 21:58",8
Molly,"24/08/2015, 22:12",530
Molly,"25/08/2015, 07:45",115
Molly,"25/08/2015, 11:51",32
Molly,"25/08/2015, 13:16",48
Molly,"25/08/2015, 15:38",149
Molly,"25/08/2015, 19:08",41
Molly,"25/08/2015, 22:19",641
Molly,"26/08/2015, 10:30",48
Molly,"26/08/2015, 12:33",75
Molly,"26/08/2015, 14:43",108
Molly,"26/08/2015, 17:48",25
Molly,"26/08/2015, 20:00",33
Molly,"26/08/2015, 21:48",661
Molly,"27/08/2015, 09:58",55
Molly,"27/08/2015, 12:21",53
Molly,"27/08/2015, 13:25",37
Molly,"27/08/2015, 15:05",29
Molly,"27/08/2015, 17:08",28
Molly,"27/08/2015, 19:20",23
Molly,"27/08/2015, 21:25",627
Molly,"28/08/2015, 09:09",98
Molly,"28/08/2015, 12:35",25
Molly,"28/08/2015, 13:50",50
Molly,"28/08/2015, 16:26",32
Molly,"28/08/2015, 18:47",32
Molly,"28/08/2015, 20:14",500
Molly,"29/08/2015, 05:26",163
Molly,"29/08/2015, 08:20",102
Molly,"29/08/2015, 11:43",12
Molly,"29/08/2015, 12:08",195
Molly,"29/08/2015, 17:12",35
Molly,"29/08/2015, 19:43",5
Molly,"29/08/2015, 20:45",30
Molly,"29/08/2015, 21:40",14
Molly,"29/08/2015, 22:00",523
Molly,"30/08/2015, 07:47",111
Molly,"30/08/2015, 09:47",71
Molly,"30/08/2015, 13:15",21
Molly,"30/08/2015, 13:48",90
Molly,"30/08/2015, 16:00",60
Molly,"30/08/2015, 18:02",45
Molly,"30/08/2015, 20:34",68
Molly,"30/08/2015, 22:10",473
Molly,"31/08/2015, 06:34",189
Molly,"31/08/2015, 11:55",29
Molly,"31/08/2015, 14:00",46
Molly,"31/08/2015, 16:00",42
Molly,"31/08/2015, 17:10",16
Molly,"31/08/2015, 17:42",40
Molly,"31/08/2015, 19:43",43
Molly,"31/08/2015, 22:19",580
Molly,"01/09/2015, 08:20",103
Molly,"01/09/2015, 11:22",12
Molly,"01/09/2015, 12:27",45
Molly,"01/09/2015, 14:55",52
Molly,"01/09/2015, 17:16",80
Molly,"01/09/2015, 18:46",85
Molly,"01/09/2015, 23:10",581
Molly,"02/09/2015, 10:15",43
Molly,"02/09/2015, 12:35",168
Molly,"02/09/2015, 17:01",40
Molly,"02/09/2015, 19:20",16
Molly,"02/09/2015, 21:35",597
Molly,"03/09/2015, 09:06",45
Molly,"03/09/2015, 11:25",157
Molly,"03/09/2015, 15:43",37
Molly,"03/09/2015, 17:40",131
Molly,"03/09/2015, 21:28",350
Molly,"04/09/2015, 03:57",250
Molly,"04/09/2015, 08:19",63
Molly,"04/09/2015, 10:47",20
Molly,"04/09/2015, 11:53",35
Molly,"04/09/2015, 13:19",177
Molly,"04/09/2015, 18:01",18
Molly,"04/09/2015, 20:45",75
Molly,"04/09/2015, 22:23",344
Molly,"05/09/2015, 05:18",258
Molly,"05/09/2015, 11:30",40
Molly,"05/09/2015, 13:49",21
Molly,"05/09/2015, 15:00",29
Molly,"05/09/2015, 15:52",8
Molly,"05/09/2015, 17:30",40
Molly,"05/09/2015, 20:03",50
Molly,"05/09/2015, 22:18",532
Molly,"06/09/2015, 08:01",152
Molly,"06/09/2015, 11:36",45
Molly,"06/09/2015, 12:33",17
Molly,"06/09/2015, 14:26",32
Molly,"06/09/2015, 15:33",49
Molly,"06/09/2015, 18:06",26
Molly,"06/09/2015, 20:22",188
Molly,"07/09/2015, 00:00",458
Molly,"07/09/2015, 08:16",92
Molly,"07/09/2015, 11:16",23
Molly,"07/09/2015, 13:04",43
Molly,"07/09/2015, 14:35",32
Molly,"07/09/2015, 16:42",43
Molly,"07/09/2015, 19:16",18
Molly,"07/09/2015, 20:03",132
Molly,"07/09/2015, 22:49",486
Molly,"08/09/2015, 07:16",92
Molly,"08/09/2015, 10:16",41
Molly,"08/09/2015, 12:18",55
Molly,"08/09/2015, 14:37",166
Molly,"08/09/2015, 20:21",21
Molly,"08/09/2015, 21:51",576
Molly,"09/09/2015, 08:54",40
Molly,"09/09/2015, 10:32",70
Molly,"09/09/2015, 12:52",30
Molly,"09/09/2015, 14:44",126
Molly,"09/09/2015, 18:28",26
Molly,"09/09/2015, 20:55",55
Molly,"09/09/2015, 22:02",354
Molly,"10/09/2015, 04:16",254
Molly,"10/09/2015, 10:13",89
Molly,"10/09/2015, 13:39",23
Molly,"10/09/2015, 15:34",89
Molly,"10/09/2015, 19:55",359
Molly,"11/09/2015, 02:15",208
Molly,"11/09/2015, 05:53",158
Molly,"11/09/2015, 10:10",27
Molly,"11/09/2015, 12:17",35
Molly,"11/09/2015, 14:24",178
Molly,"11/09/2015, 18:50",29
Molly,"11/09/2015, 21:20",227
Molly,"12/09/2015, 01:29",337
Molly,"12/09/2015, 07:20",112
Molly,"12/09/2015, 11:19",47
Molly,"12/09/2015, 13:15",51
Molly,"12/09/2015, 16:00",27
Molly,"12/09/2015, 17:33",10
Molly,"12/09/2015, 18:15",36
Molly,"12/09/2015, 19:50",129
Molly,"12/09/2015, 22:20",405
Molly,"13/09/2015, 05:33",128
Molly,"13/09/2015, 09:07",42
Molly,"13/09/2015, 11:29",40
Molly,"13/09/2015, 13:42",45
Molly,"13/09/2015, 15:58",31
Molly,"13/09/2015, 19:33",36
Molly,"13/09/2015, 20:18",337
Molly,"14/09/2015, 02:16",275
Molly,"14/09/2015, 06:58",153
Molly,"14/09/2015, 10:30",33
Molly,"14/09/2015, 11:13",51
Molly,"14/09/2015, 13:52",38
Molly,"14/09/2015, 16:04",35
Molly,"14/09/2015, 18:02",66
Molly,"14/09/2015, 20:40",242
Molly,"15/09/2015, 00:58",254
Molly,"15/09/2015, 05:48",201
Molly,"15/09/2015, 10:43",36
Molly,"15/09/2015, 12:58",30
Molly,"15/09/2015, 14:50",28
Molly,"15/09/2015, 15:53",11
Molly,"15/09/2015, 16:45",35
Molly,"15/09/2015, 19:28",333
Molly,"16/09/2015, 01:32",201
Molly,"16/09/2015, 05:10",126
Molly,"16/09/2015, 07:45",153
Molly,"16/09/2015, 12:15",18
Molly,"16/09/2015, 14:23",38
Molly,"16/09/2015, 16:59",33
Molly,"16/09/2015, 19:46",29
Molly,"16/09/2015, 21:41",604
Molly,"17/09/2015, 08:42",57
Molly,"17/09/2015, 11:31",30
Molly,"17/09/2015, 12:54",65
Molly,"17/09/2015, 15:15",35
